id,productName,category,saltPercent,oilPercent,sugarPercent,moisturePercent,phLevel,packaging,heatTreatedBeforeSealing,transportDistanceKm,storageBeforeDelivery,actualShelfLifeDays,aiPredictedShelfLifeDays
1,Mango Pickle,pickle,6,30,0,28,3.99,glass_jar,false,199,room_temp,410,413
2,Roasted Foxnuts,snack,3,8,5,11,6.79,vacuum_sealed,false,376,room_temp,180,165
3,Himalayan Mix,snack,5,5,7,2,5.64,plastic_pouch,false,773,room_temp,165,161
4,Mango Pickle,pickle,13,21,0,20,3.86,plastic_jar,true,711,room_temp,470,483
5,Plum Juice,juice,0,0,25,84,4.56,glass_bottle,true,127,cold_chain,165,160
6,Mango Pickle,pickle,6,14,0,17,3.11,glass_jar,false,842,room_temp,350,357
7,Roasted Foxnuts,snack,4,2,1,4,5.75,vacuum_sealed,false,896,room_temp,255,243
8,Himalayan Mix,snack,4,9,11,14,6.15,vacuum_sealed,false,893,room_temp,165,150
9,Roasted Foxnuts,snack,2,10,4,3,5.72,plastic_pouch,false,521,room_temp,165,163
10,Apple Juice,juice,0,0,14,88,4.95,glass_bottle,false,608,room_temp,7,-2
11,Garlic Pickle,pickle,9,25,0,24,3.16,glass_jar,true,245,room_temp,455,448
12,Chilli Pickle,pickle,3,20,0,10,3.64,glass_jar,true,348,room_temp,350,354
13,Apple Juice,juice,0,0,22,87,2.96,pet_bottle,false,475,cold_chain,225,217
14,Ragi Cookies,snack,5,5,11,12,6.19,plastic_pouch,false,337,room_temp,90,81
15,Plum Juice,juice,0,0,25,93,4.20,glass_bottle,true,278,room_temp,155,156
16,Chilli Pickle,pickle,5,28,0,36,3.19,glass_jar,false,103,room_temp,310,311
17,Apple Juice,juice,0,0,12,95,4.66,glass_bottle,false,389,room_temp,20,16
18,Rhododendron Squash,juice,0,0,21,85,4.62,pet_bottle,true,616,room_temp,80,73
19,Roasted Foxnuts,snack,4,6,9,13,5.91,paper_box,false,821,room_temp,105,95
20,Ragi Cookies,snack,4,10,13,13,6.13,paper_box,false,401,room_temp,120,121
21,Plum Juice,juice,0,0,9,87,4.48,glass_bottle,false,447,cold_chain,150,156
22,Garlic Pickle,pickle,10,14,0,28,4.29,glass_jar,true,461,room_temp,410,425
23,Chilli Pickle,pickle,4,15,0,14,3.04,glass_jar,true,630,room_temp,335,331
24,Rhododendron Squash,juice,0,0,25,84,3.79,pet_bottle,false,391,room_temp,110,118
25,Apple Juice,juice,0,0,20,80,3.06,pet_bottle,false,136,room_temp,155,168
26,Garlic Pickle,pickle,12,22,0,36,4.23,plastic_jar,false,895,room_temp,325,311
27,Garlic Pickle,pickle,12,12,0,22,4.04,glass_jar,true,706,room_temp,425,427
28,Ragi Cookies,snack,1,4,14,12,5.60,plastic_pouch,false,34,room_temp,90,80
29,Apple Juice,juice,0,0,24,89,4.90,pet_bottle,true,86,cold_chain,165,175
30,Apple Juice,juice,0,0,14,95,2.84,glass_bottle,false,880,room_temp,110,96
31,Mango Pickle,pickle,14,23,0,33,4.23,plastic_jar,true,705,room_temp,370,373
32,Rhododendron Squash,juice,0,0,15,92,3.45,pet_bottle,false,274,cold_chain,195,199
33,Mango Pickle,pickle,15,8,0,36,4.22,plastic_jar,false,920,room_temp,190,176
34,Rhododendron Squash,juice,0,0,7,85,2.55,pet_bottle,false,585,room_temp,110,107
35,Garlic Pickle,pickle,9,30,0,17,3.28,glass_jar,false,766,room_temp,395,383
36,Roasted Foxnuts,snack,5,3,7,15,5.72,plastic_pouch,false,760,room_temp,75,74
37,Roasted Foxnuts,snack,5,5,0,8,5.64,paper_box,false,939,room_temp,165,166
38,Garlic Pickle,pickle,6,27,0,40,4.49,glass_jar,false,62,room_temp,310,322
39,Garlic Pickle,pickle,12,7,0,27,3.93,glass_jar,false,958,room_temp,290,280
40,Garlic Pickle,pickle,6,27,0,15,3.96,glass_jar,true,573,room_temp,440,430
41,Chilli Pickle,pickle,14,5,0,10,3.36,glass_jar,true,191,room_temp,350,364
42,Garlic Pickle,pickle,4,15,0,40,4.39,plastic_jar,false,187,room_temp,205,211
43,Apple Juice,juice,0,0,19,83,3.94,pet_bottle,true,769,cold_chain,210,195
44,Garlic Pickle,pickle,12,21,0,35,3.05,glass_jar,true,366,room_temp,385,387
45,Himalayan Mix,snack,2,7,8,9,5.66,paper_box,false,214,room_temp,180,165
46,Chilli Pickle,pickle,8,16,0,17,3.08,glass_jar,true,471,room_temp,410,402
47,Chilli Pickle,pickle,14,20,0,34,3.18,glass_jar,true,476,room_temp,340,325
48,Rhododendron Squash,juice,0,0,15,89,2.91,pet_bottle,true,585,room_temp,155,155
49,Roasted Foxnuts,snack,2,8,9,7,5.90,plastic_pouch,false,245,room_temp,150,148
50,Roasted Foxnuts,snack,2,10,14,13,5.62,vacuum_sealed,false,568,room_temp,165,156
51,Roasted Foxnuts,snack,2,3,14,11,6.65,vacuum_sealed,false,284,room_temp,180,194
52,Chilli Pickle,pickle,10,5,0,30,3.09,plastic_jar,true,645,room_temp,305,303
53,Ragi Cookies,snack,4,3,4,4,5.49,plastic_pouch,false,146,room_temp,180,171
54,Garlic Pickle,pickle,4,27,0,23,4.05,glass_jar,true,825,room_temp,380,373
55,Chilli Pickle,pickle,3,25,0,37,3.65,plastic_jar,false,822,room_temp,235,249
56,Ragi Cookies,snack,1,4,11,14,5.94,paper_box,false,537,room_temp,105,101
57,Apple Juice,juice,0,0,6,94,4.70,glass_bottle,true,143,cold_chain,135,133
